gene_id,gene_name,genome
ENSG00000132300,PTCD3,hg38
ENSG00000132467,UTP3,hg38
ENSG00000132471,WBP2,hg38
ENSG00000133134,BEX2,hg38
ENSG00000134255,CEPT1,hg38
ENSG00000135164,DMTF1,hg38
ENSG00000135404,CD63,hg38
ENSG00000135503,ACVR1B,hg38
ENSG00000135821,GLUL,hg38
ENSG00000135898,GPR55,hg38
ENSG00000135913,USP37,hg38
ENSG00000137094,DNAJB5,hg38
ENSG00000137273,FOXF2,hg38
ENSG00000137817,PARP6,hg38
ENSG00000138435,CHRNA1,hg38
ENSG00000138617,PARP16,hg38
ENSG00000139714,MORN3,hg38
ENSG00000140396,NCOA2,hg38
ENSG00000140557,ST8SIA2,hg38
ENSG00000140743,CDR2,hg38
ENSG00000140839,CLEC18B,hg38
ENSG00000141510,TP53,hg38
ENSG00000142599,RERE,hg38
ENSG00000143162,CREG1,hg38
ENSG00000145715,RASA1,hg38
ENSG00000145757,SPATA9,hg38
ENSG00000148180,GSN,hg38
ENSG00000148341,SH3GLB2,hg38
ENSG00000148730,EIF4EBP2,hg38
ENSG00000148925,BTBD10,hg38
ENSG00000149243,KLHL35,hg38
ENSG00000149380,P4HA3,hg38
ENSG00000151612,ZNF827,hg38
ENSG00000151743,AMN1,hg38
ENSG00000152683,SLC30A6,hg38
ENSG00000152749,GPR180,hg38
ENSG00000154930,ACSS1,hg38
ENSG00000156265,MAP3K7CL,hg38
ENSG00000156535,CD109,hg38
ENSG00000156973,PDE6D,hg38
ENSG00000159403,C1R,hg38
ENSG00000160326,SLC2A6,hg38
ENSG00000160703,NLRX1,hg38
ENSG00000160799,CCDC12,hg38
ENSG00000162407,PLPP3,hg38
ENSG00000163050,COQ8A,hg38
ENSG00000163472,TMEM79,hg38
ENSG00000163638,ADAMTS9,hg38
ENSG00000164924,YWHAZ,hg38
ENSG00000165555,NOXRED1,hg38
ENSG00000166450,PRTG,hg38
ENSG00000166492,FAM86GP,hg38
ENSG00000167085,PHB,hg38
ENSG00000168214,RBPJ,hg38
ENSG00000168246,UBTD2,hg38
ENSG00000168275,COA6,hg38
ENSG00000168542,COL3A1,hg38
ENSG00000169258,GPRIN1,hg38
ENSG00000169946,ZFPM2,hg38
ENSG00000170236,USP50,hg38
ENSG00000171206,TRIM8,hg38
ENSG00000171566,PLRG1,hg38
ENSG00000171595,DNAI2,hg38
ENSG00000171877,FRMD5,hg38
ENSG00000172465,TCEAL1,hg38
ENSG00000172977,KAT5,hg38
ENSG00000173011,TADA2B,hg38
ENSG00000173210,ABLIM3,hg38
ENSG00000173267,SNCG,hg38
ENSG00000174010,KLHL15,hg38
ENSG00000174238,PITPNA,hg38
ENSG00000174243,DDX23,hg38
ENSG00000177409,SAMD9L,hg38
ENSG00000177738,AC025171.1,hg38
ENSG00000177822,AC098864.1,hg38
ENSG00000177981,ASB8,hg38
ENSG00000178462,TUBAL3,hg38
ENSG00000179104,TMTC2,hg38
ENSG00000179604,CDC42EP4,hg38
ENSG00000180189,HMGB1P14,hg38
ENSG00000181982,CCDC149,hg38
ENSG00000182628,SKA2,hg38
ENSG00000182952,HMGN4,hg38
ENSG00000183943,PRKX,hg38
ENSG00000185792,NLRP9,hg38
ENSG00000185942,NKAIN3,hg38
ENSG00000186141,POLR3C,hg38
ENSG00000187905,LRRC74B,hg38
ENSG00000188554,NBR1,hg38
ENSG00000196302,AC146944.1,hg38
ENSG00000196566,AL138767.1,hg38
ENSG00000196968,FUT11,hg38
ENSG00000197265,GTF2E2,hg38
ENSG00000197302,ZNF720,hg38
ENSG00000197375,SLC22A5,hg38
ENSG00000197599,CCDC154,hg38
ENSG00000197603,CPLANE1,hg38
ENSG00000197841,ZNF181,hg38
ENSG00000198576,ARC,hg38
ENSG00000204301,NOTCH4,hg38
ENSG00000204438,GPANK1,hg38
ENSG00000205177,C11orf91,hg38
ENSG00000205426,KRT81,hg38
ENSG00000205702,CYP2D7,hg38
ENSG00000212123,PRR22,hg38
ENSG00000213463,SYNJ2BP,hg38
ENSG00000214050,FBXO16,hg38
ENSG00000214300,SPDYE3,hg38
ENSG00000215014,AL645728.1,hg38
ENSG00000220370,AL078595.1,hg38
ENSG00000224281,SLC25A5-AS1,hg38
ENSG00000224292,AF196972.1,hg38
ENSG00000226010,AL355852.1,hg38
ENSG00000226383,LINC01876,hg38
ENSG00000227265,AL845331.1,hg38
ENSG00000227885,AL590652.1,hg38
ENSG00000229358,DPY19L1P1,hg38
ENSG00000229869,AL359878.2,hg38
ENSG00000230415,LINC01786,hg38
ENSG00000230424,AL035413.1,hg38
ENSG00000230673,PABPC1P3,hg38
ENSG00000230826,AL390774.2,hg38
ENSG00000231416,AL358472.1,hg38
ENSG00000231856,AL162377.1,hg38
ENSG00000232455,LARS2-AS1,hg38
ENSG00000232485,AC098820.1,hg38
ENSG00000233009,NALCN-AS1,hg38
ENSG00000234773,AC012618.3,hg38
ENSG00000235244,DANT2,hg38
ENSG00000235904,RBMS3-AS3,hg38
ENSG00000236332,AP001604.1,hg38
ENSG00000236432,AC097662.1,hg38
ENSG00000236472,AC002401.1,hg38
ENSG00000237251,AC004987.3,hg38
ENSG00000237693,IRGM,hg38
ENSG00000237849,NFYAP1,hg38
ENSG00000239498,AC019211.1,hg38
ENSG00000239791,AC002310.2,hg38
ENSG00000241048,AC117386.1,hg38
ENSG00000241360,PDXP,hg38
ENSG00000241560,ZBTB20-AS1,hg38
ENSG00000241563,CORT,hg38
ENSG00000242419,PCDHGC4,hg38
ENSG00000242852,ZNF709,hg38
ENSG00000248176,AC109349.1,hg38
ENSG00000248478,AC104233.1,hg38
ENSG00000248487,ABHD14A,hg38
ENSG00000248858,AC104211.1,hg38
ENSG00000249335,AC093523.1,hg38
ENSG00000249346,LINC01016,hg38
ENSG00000249628,LINC00942,hg38
ENSG00000249641,HOXC13-AS,hg38
ENSG00000249868,AC136777.1,hg38
ENSG00000250302,LINC01618,hg38
ENSG00000250420,AACSP1,hg38
ENSG00000251165,F11-AS1,hg38
ENSG00000251364,AC107884.1,hg38
ENSG00000251391,AC113378.1,hg38
ENSG00000251537,AC005324.3,hg38
ENSG00000251664,PCDHA12,hg38
ENSG00000253214,AC079209.1,hg38
ENSG00000253634,AC091096.2,hg38
ENSG00000254344,LINC01288,hg38
ENSG00000254530,AC090124.1,hg38
ENSG00000255129,AP000880.1,hg38
ENSG00000256040,PAPPA-AS1,hg38
ENSG00000256124,LINC01152,hg38
ENSG00000257283,AC012464.1,hg38
ENSG00000258102,MAP1LC3B2,hg38
ENSG00000258314,AL589182.1,hg38
ENSG00000258457,AL132780.2,hg38
ENSG00000259294,AC005096.1,hg38
ENSG00000260232,PWRN4,hg38
ENSG00000260277,AC009019.1,hg38
ENSG00000261115,TMEM178B,hg38
ENSG00000261272,MUC22,hg38
ENSG00000261578,AP003119.3,hg38
ENSG00000261845,AC124283.1,hg38
ENSG00000262312,AC004494.1,hg38
ENSG00000263317,LINC01982,hg38
ENSG00000264570,SNX19P3,hg38
ENSG00000266450,AC019183.1,hg38
ENSG00000267131,AC005746.2,hg38
ENSG00000267688,KF456478.1,hg38
ENSG00000271382,AC012464.3,hg38
ENSG00000271716,AC022001.2,hg38
ENSG00000272381,AL356258.1,hg38
ENSG00000272716,AL121658.1,hg38
ENSG00000272870,AC097534.2,hg38
ENSG00000273045,C2orf15,hg38
ENSG00000273119,AP005229.2,hg38
ENSG00000273338,AC103591.3,hg38
ENSG00000273396,LINC01396,hg38
ENSG00000276203,ANKRD20A3,hg38
ENSG00000276651,AC007950.2,hg38
ENSG00000277301,AL034550.2,hg38
ENSG00000280281,AL049781.1,hg38
ENSG00000283360,AL592295.3,hg38
ENSG00000284491,THSD8,hg38
ENSG00000284669,AC092053.3,hg38
ENSG00000285304,Z83844.3,hg38
